BMID000000142175,'Echinicola'
BMID000000140238,'Edwardsiella'
BMID000000140878,'Eggerthella'
BMID000000140811,'Ehrlichia'
BMID000000140931,'Elusimicrobium'
BMID000000141085,'Emericella'
BMID000000142553,'Emticicia'
BMID000000142102,'Encephalitozoon'
BMID000000141986,'Entamoeba'
BMID000000141327,'Enterobacter'
BMID000000142321,'Enterobacteriaceae'
BMID000000141416,'Enterococcus'
BMID000000140317,'Equus'
BMID000000142417,'Eremothecium'
BMID000000141776,'Erwinia'
BMID000000140695,'Erysipelothrix'
BMID000000141176,'Erythrobacter'
BMID000000141156,'Escherichia'
BMID000000140626,'Ethanoligenens'
BMID000000141288,'Eubacterium'
BMID000000141857,'Exiguobacterium'
BMID000000142355,'Faecalibacterium'
BMID000000142153,'Felis'
BMID000000140271,'Ferrimonas'
BMID000000140830,'Ferroglobus'
BMID000000142359,'Fervidicoccus'
BMID000000141605,'Fervidobacterium'
BMID000000142780,'Fibrella'
BMID000000141210,'Fibrobacter'
BMID000000140685,'Filifactor'
BMID000000141378,'Finegoldia'
BMID000000141935,'Flavobacteriaceae'
BMID000000140637,'Flavobacterium'
BMID000000142774,'Flexibacter'
BMID000000140338,'Flexistipes'
BMID000000141601,'Fluviicola'
BMID000000141183,'Francisella'
BMID000000141887,'Frankia'
BMID000000140422,'Frateuria'
BMID000000141334,'Fusobacterium'
BMID000000141835,'Gallibacterium'
BMID000000141931,'Gallionella'
BMID000000141254,'Gallus'
BMID000000141750,'Gammaproteobacteria'
BMID000000141481,'Gardnerella'
BMID000000142112,'Geitlerinema'
BMID000000140694,'Gemmatimonas'
BMID000000141669,'Geobacillus'
BMID000000140962,'Geobacter'
BMID000000141838,'Geodermatophilus'
BMID000000140944,'Giardia'
BMID000000141470,'Gibberella'
BMID000000140999,'Glaciecola'
BMID000000141633,'Gloeobacter'
BMID000000142533,'Gloeocapsa'
BMID000000141568,'Gluconacetobacter'
BMID000000140867,'Gluconobacter'
BMID000000141055,'Glycine'
BMID000000140683,'Gordonia'
BMID000000142518,'Gordonibacter'
BMID000000142517,'Gorilla'
BMID000000140425,'Gramella'
BMID000000140304,'Granulibacter'
BMID000000141380,'Granulicella'
BMID000000140613,'Haemophilus'
BMID000000141865,'Hahella'
BMID000000141027,'Halalkalicoccus'
BMID000000141794,'Halanaerobium'
BMID000000140992,'Haliangium'
BMID000000141125,'Haliscomenobacter'
BMID000000141097,'Haloarcula'
BMID000000142604,'Halobacillus'
BMID000000141972,'Halobacterium'
BMID000000142070,'Halobacteroides'
BMID000000140545,'Haloferax'
BMID000000141897,'Halogeometricum'
